"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 29 19:20:08 UTC 2025","Sun Jun 29 19:21:03 UTC 2025","54719","CloudIosParallelSuite","iPhone 16 Plus","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testParaCekmeYeniHesapFlow","Para Çekme Yeni Hesap",""
"passed","Sun Jun 29 19:05:00 UTC 2025","Sun Jun 29 19:05:56 UTC 2025","55381","CloudIosParallelSuite","iPhone 15","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testVoiceChatVolumeClosed","Voice Chat Volume Closed",""
"passed","Sun Jun 29 19:21:45 UTC 2025","Sun Jun 29 19:22:29 UTC 2025","43544","CloudIosParallelSuite","iPhone 16 Plus","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testVoiceChatEmpty","Voice Chat Empty",""
"passed","Sun Jun 29 18:44:36 UTC 2025","Sun Jun 29 18:45:31 UTC 2025","55314","CloudIosParallelSuite","iPhone 13 Pro Max","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testVoiceChatVolumeClosed","Voice Chat Volume Closed",""
"passed","Sun Jun 29 18:40:52 UTC 2025","Sun Jun 29 18:42:00 UTC 2025","67382","CloudIosParallelSuite","iPhone 13 Pro Max","org.example.tests.BtcAITests.IOS.OnboardingTest","org.example.tests.BtcAITests.IOS.OnboardingTest","onboardingRetry","Onboarding and Assertion",""
"skipped","Sun Jun 29 18:49:58 UTC 2025","Sun Jun 29 18:49:58 UTC 2025","13","CloudIosParallelSuite","iPhone 14","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","buyBitcoinWithMarketOrder","Piyasa emir tipinde Bitcoin Alma İşlemi",""
"passed","Sun Jun 29 19:15:51 UTC 2025","Sun Jun 29 19:16:49 UTC 2025","58201","CloudIosParallelSuite","iPhone 16 Plus","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testVoiceChatVolumeClosed","Voice Chat Volume Closed",""
"broken","Sun Jun 29 18:49:41 UTC 2025","Sun Jun 29 18:51:04 UTC 2025","83240","CloudIosParallelSuite","iPhone 13 Pro Max","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testParaCekmeYeniHesapFlow","Para Çekme Yeni Hesap",""
"broken","Sun Jun 29 19:13:37 UTC 2025","Sun Jun 29 19:14:02 UTC 2025","24627","CloudIosParallelSuite","iPhone XR","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","buyBitcoinWithMarketOrder","Piyasa emir tipinde Bitcoin Alma İşlemi",""
"broken","Sun Jun 29 19:14:38 UTC 2025","Sun Jun 29 19:15:11 UTC 2025","33272","CloudIosParallelSuite","iPhone 16 Plus","org.example.tests.BtcAITests.IOS.OnboardingTest","org.example.tests.BtcAITests.IOS.OnboardingTest","onboarding","Onboarding Skip",""
"skipped","Sun Jun 29 18:45:58 UTC 2025","Sun Jun 29 18:45:58 UTC 2025","2","CloudIosParallelSuite","iPhone 14","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testTextChatFlow","Text Chat Flow",""
"passed","Sun Jun 29 19:04:51 UTC 2025","Sun Jun 29 19:05:50 UTC 2025","58553","CloudIosParallelSuite","iPhone XR","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testVoiceChatVolumeClosed","Voice Chat Volume Closed",""
"passed","Sun Jun 29 18:51:55 UTC 2025","Sun Jun 29 18:52:38 UTC 2025","42114","CloudIosParallelSuite","iPhone 13 Pro Max","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testVoiceChatEmpty","Voice Chat Empty",""
"broken","Sun Jun 29 19:14:03 UTC 2025","Sun Jun 29 19:14:37 UTC 2025","33787","CloudIosParallelSuite","iPhone 16 Plus","org.example.tests.BtcAITests.IOS.OnboardingTest","org.example.tests.BtcAITests.IOS.OnboardingTest","onboardingRetry","Onboarding and Assertion",""
"passed","Sun Jun 29 19:02:24 UTC 2025","Sun Jun 29 19:04:00 UTC 2025","95632","CloudIosParallelSuite","iPhone 15","org.example.tests.BtcAITests.IOS.OnboardingTest","org.example.tests.BtcAITests.IOS.OnboardingTest","onboarding","Onboarding Skip",""
"passed","Sun Jun 29 19:02:33 UTC 2025","Sun Jun 29 19:03:55 UTC 2025","81844","CloudIosParallelSuite","iPhone XR","org.example.tests.BtcAITests.IOS.OnboardingTest","org.example.tests.BtcAITests.IOS.OnboardingTest","onboarding","Onboarding Skip",""
"passed","Sun Jun 29 19:06:39 UTC 2025","Sun Jun 29 19:07:33 UTC 2025","53598","CloudIosParallelSuite","iPhone 15","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testTextChatFlow","Text Chat Flow",""
"passed","Sun Jun 29 19:17:19 UTC 2025","Sun Jun 29 19:18:10 UTC 2025","50847","CloudIosParallelSuite","iPhone 16 Plus","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testTextChatFlow","Text Chat Flow",""
"passed","Sun Jun 29 19:08:26 UTC 2025","Sun Jun 29 19:09:39 UTC 2025","72733","CloudIosParallelSuite","iPhone 15","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testParaYatirmaFlow","Para Yatırma Akışı",""
"passed","Sun Jun 29 19:23:00 UTC 2025","Sun Jun 29 19:24:03 UTC 2025","62718","CloudIosParallelSuite","iPhone 16 Plus","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","voiceChatVolumeClose","Voice Chat Volume Close",""
"skipped","Sun Jun 29 18:46:47 UTC 2025","Sun Jun 29 18:46:47 UTC 2025","4","CloudIosParallelSuite","iPhone 14","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testParaYatirmaFlow","Para Yatırma Akışı",""
"broken","Sun Jun 29 18:45:58 UTC 2025","Sun Jun 29 18:45:58 UTC 2025","3","CloudIosParallelSuite","iPhone 14","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","prepareTest","prepareTest",""
"passed","Sun Jun 29 19:14:10 UTC 2025","Sun Jun 29 19:15:12 UTC 2025","62755","CloudIosParallelSuite","iPhone 15","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","voiceChatVolumeClose","Voice Chat Volume Close",""
"broken","Sun Jun 29 18:55:02 UTC 2025","Sun Jun 29 18:56:11 UTC 2025","69130","CloudIosParallelSuite","iPhone 13 Pro Max","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","buyBitcoinWithMarketOrder","Piyasa emir tipinde Bitcoin Alma İşlemi",""
"broken","Sun Jun 29 19:24:34 UTC 2025","Sun Jun 29 19:24:58 UTC 2025","23845","CloudIosParallelSuite","iPhone 16 Plus","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","buyBitcoinWithMarketOrder","Piyasa emir tipinde Bitcoin Alma İşlemi",""
"passed","Sun Jun 29 18:46:13 UTC 2025","Sun Jun 29 18:47:02 UTC 2025","49485","CloudIosParallelSuite","iPhone 13 Pro Max","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testTextChatFlow","Text Chat Flow",""
"passed","Sun Jun 29 18:47:52 UTC 2025","Sun Jun 29 18:48:58 UTC 2025","65702","CloudIosParallelSuite","iPhone 13 Pro Max","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testParaYatirmaFlow","Para Yatırma Akışı",""
"passed","Sun Jun 29 18:53:18 UTC 2025","Sun Jun 29 18:54:22 UTC 2025","63959","CloudIosParallelSuite","iPhone 13 Pro Max","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","voiceChatVolumeClose","Voice Chat Volume Close",""
"broken","Sun Jun 29 19:18:49 UTC 2025","Sun Jun 29 19:19:27 UTC 2025","38401","CloudIosParallelSuite","iPhone 16 Plus","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testParaYatirmaFlow","Para Yatırma Akışı",""
"skipped","Sun Jun 29 18:48:23 UTC 2025","Sun Jun 29 18:48:23 UTC 2025","3","CloudIosParallelSuite","iPhone 14","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testVoiceChatEmpty","Voice Chat Empty",""
"passed","Sun Jun 29 18:42:02 UTC 2025","Sun Jun 29 18:43:37 UTC 2025","95611","CloudIosParallelSuite","iPhone 13 Pro Max","org.example.tests.BtcAITests.IOS.OnboardingTest","org.example.tests.BtcAITests.IOS.OnboardingTest","onboarding","Onboarding Skip",""
"skipped","Sun Jun 29 18:47:35 UTC 2025","Sun Jun 29 18:47:35 UTC 2025","5","CloudIosParallelSuite","iPhone 14","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","testParaCekmeYeniHesapFlow","Para Çekme Yeni Hesap",""
"broken","Sun Jun 29 19:15:55 UTC 2025","Sun Jun 29 19:17:13 UTC 2025","77853","CloudIosParallelSuite","iPhone 15","org.example.tests.BtcAITests.IOS.ChatTest","org.example.tests.BtcAITests.IOS.ChatTest","buyBitcoinWithMarketOrder","Piyasa emir tipinde Bitcoin Alma İşlemi",""
